,builder_name,projects_total,projects_completed
0,Darshanam Group,50,34
1,Nyalkaran Group,30,13
2,Kanha Group,23,14
3,Nilamber Group,21,15
4,Narayan Realty,20,16
5,Ananta Group,18,14
6,Earth Group Gujarat,18,17
7,Pawan Group,19,16
8,Raama Group,18,12
9,Samanvay Realty,20,14
10,Taksh Group,15,13
11,Vihav Realty Group,16,7
12,BR Patel Group,15,13
13,Pratham Enterprises,15,13
14,Shreeji Developers Vadodara,16,8
15,Vedant Group,14,12
16,Amar Group Vadodara,14,7
17,Lilleria Group,13,6
18,Aatmiya Group,12,3
19,Vaibhav Corporation,12,8
20,Aditya Group Vadodara,10,8
21,Akshar Group Vadodara,13,9
22,Mangla Group,10,8
23,Shivam Developers Vadodara,10,3
24,Shreenath Spaces,10,10
25,Fortune Group Vadodara,11,6
26,Neptune Realty Group,9,3
27,Pancham Group,9,6
28,Samruddhi Builders,9,8
29,Makhija Infrastructure,8,8
30,Othello Group,8,8
31,Prapti Group,8,7
32,SP Group Vadodara,8,3
33,Vadodara Urban Development Authority,9,3
34,Abhinav Assets Group,7,7
35,Brookfieldz,7,2
36,Kamlesh Gandhi Projects,7,4
37,Madhuvan Group,7,3
38,Northway Spaces,7,6
39,Rosedale Group,7,7
40,Sky Seven Infratech,9,3
41,Dream Projects,6,6
42,Everest Group,6,5
43,JP ISCON Group,6,6
44,Krishna Developers Vadodara,6,1
45,Labh Group Vadodara,6,6
46,Sharnam Group,6,6
47,Shivam Infra Vadodara,7,2
48,Shree Hari Developers Vadodara,6,2
49,Shrimay Group,7,2
50,Aadhya Group,5,4
51,Courtyard Group,5,1
52,Frohberg Builders,5,5
53,Jack Group,5,5
54,Kalp Group,5,5
55,Ramesh Patel Builders,5,5
56,S B Patel Infrastructure,6,5
57,Satva Group,5,5
58,Shree Balaji Group Ahmedabad,7,4
59,Shree Developers Vadodara,5,2
60,Shreeji Infrastructure Vadodara,6,5
61,Shreem Group,5,5
62,Sudhapati Developers,5,3
63,Trisha Infrastructure Ltd,5,3
